,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
Meta-Llama-3.1-70B-Instruct-t0.0--Meta-Llama-3.1-70B-Instruct-t0.0,69.47,93.75,74.1,75.0,81.6,21.84,100.0,93.63,5.39,100.0,86.67,34.57,,,,,,,,,,100.0,34.5,46.09
Meta-Llama-3.1-8B-Instruct-t0.0--Meta-Llama-3.1-8B-Instruct-t0.0,30.2,83.0,36.38,25.0,58.8,25.05,100.0,53.82,21.52,100.0,60.0,49.83,,,,100.0,0.0,0.0,,,,90.0,9.26,18.84
Pharia-1-LLM-7B-control-aligned-hf-t0.0--Pharia-1-LLM-7B-control-aligned-hf-t0.0,2.24,33.61,6.67,0.0,,,0.0,,,8.33,26.67,45.77,66.67,0.0,0.0,76.67,0.0,0.0,50.0,0.0,0.0,,,
Pharia-1-LLM-7B-control-hf-t0.0--Pharia-1-LLM-7B-control-hf-t0.0,0.0,15.33,0.0,0.0,,,4.0,0.0,0.0,0.0,,,60.0,0.0,0.0,3.33,0.0,,40.0,0.0,0.0,0.0,,
Qwen1.5-72B-Chat-t0.0--Qwen1.5-72B-Chat-t0.0,38.08,73.75,51.64,65.0,49.15,26.06,100.0,60.73,17.45,100.0,30.0,46.61,,,,,,,,,,30.0,66.67,57.74
Qwen1.5-7B-Chat-t0.0--Qwen1.5-7B-Chat-t0.0,8.33,25.0,33.33,0.0,,,0.0,,,100.0,33.33,47.95,,,,,,,,,,0.0,,
Qwen2-72B-Instruct-t0.0--Qwen2-72B-Instruct-t0.0,31.06,57.5,54.02,0.0,,,70.0,65.39,16.34,100.0,80.0,40.68,,,,,,,,,,60.0,16.67,40.82
Qwen2-7B-Instruct-t0.0--Qwen2-7B-Instruct-t0.0,8.2,41.25,19.89,45.0,19.67,16.39,0.0,,,100.0,40.0,49.83,,,,,,,,,,20.0,0.0,0.0
Yi-34B-Chat-t0.0--Yi-34B-Chat-t0.0,7.15,18.75,38.11,15.0,14.33,24.83,0.0,,,10.0,100.0,0.0,,,,,,,,,,50.0,0.0,0.0
c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,26.4,70.95,37.21,0.0,,,100.0,47.04,21.96,100.0,49.44,50.14,56.67,91.18,28.79,93.33,0.0,0.0,83.33,17.0,34.4,63.33,18.6,33.28
openchat_3.5-t0.0--openchat_3.5-t0.0,17.77,35.0,50.78,20.0,9.0,10.39,0.0,,,100.0,43.33,50.4,,,,,,,,,,20.0,100.0,0.0
